Customer ID;Edad;Genero;Descripcion;Categoria;Fecha Compra;Unidades;PVP;Localizacion;Tamaño;Color;Temporada;Forma Envio;Metodo Pago;Frecuencia Compra
21;21;Male;Pants;Clothing;10/02/2024;50;51;Louisiana;M;Black;Winter;Express;Cash;Every 3 Months
22;31;Male;Pants;Clothing;12/02/2024;22;62;North Carolina;M;Charcoal;Winter;Store Pickup;Debit Card;Quarterly
23;56;Male;Pants;Clothing;14/02/2024;32;37;California;M;Peach;Summer;Store Pickup;Debit Card;Annually
24;31;;Pants;Clothing;16/02/2024;40;88;Oklahoma;XL;White;Winter;Express;Credit Card;Weekly
25;18;Male;Jacket;Outerwear;18/02/2024;16;22;Florida;M;Green;Fall;Store Pickup;Debit Card;Weekly
26;18;Male;Hoodie;Clothing;20/02/2024;14;25;Texas;M;Silver;Summer;Express;PayPal;Annually
27;38;Male;Jewelry;Accessories;22/02/2024;13;20;Nevada;M;Red;Spring;Next Day Air;Credit Card;Annually
28;56;Male;Shorts;Clothing;24/02/2024;7;56;Kentucky;L;Cyan;Summer;Next Day Air;Bank Transfer;Every 3 Months
29;54;Male;Handbag;Accessories;26/02/2024;41;94;North Carolina;M;Gray;Fall;Free Shipping;PayPal;Every 3 Months
30;31;Male;Dress;Clothing;28/02/2024;14;48;Wyoming;S;Black;Fall;Store Pickup;Credit Card;Weekly
31;57;Male;Jewelry;Accessories;01/03/2024;16;31;North Carolina;L;Black;Winter;Standard;Credit Card;Monthly
32;33;Male;Dress;Clothing;03/03/2024;45;79;West Virginia;L;Brown;Winter;Store Pickup;Venmo;Monthly
33;36;Male;Jacket;Outerwear;05/03/2024;37;67;Kansas;M;Silver;Summer;Free Shipping;Venmo;Annually
34;54;Male;Pants;Clothing;07/03/2024;45;38;Colorado;L;Green;Summer;Store Pickup;Cash;Quarterly
35;36;Male;T-shirt;Clothing;09/03/2024;38;91;North Dakota;L;Violet;Spring;2-Day Shipping;PayPal;Quarterly
36;54;Male;Blouse;Clothing;11/03/2024;48;33;Massachusetts;M;Cyan;Summer;2-Day Shipping;Credit Card;Bi-Weekly
37;35;Male;T-shirt;Clothing;13/03/2024;44;69;Illinois;M;Maroon;Winter;Free Shipping;PayPal;Fortnightly
38;35;Male;Jeans;Clothing;15/03/2024;10;45;Indiana;S;Cyan;Summer;Store Pickup;PayPal;Weekly
39;29;Male;Dress;Clothing;17/03/2024;44;37;Florida;M;Red;Winter;2-Day Shipping;Venmo;Every 3 Months
40;70;Male;Pants;Clothing;19/03/2024;18;60;Arizona;S;Turquoise;Summer;Express;Credit Card;Monthly
41;69;Male;Handbag;Accessories;21/03/2024;31;76;Louisiana;L;Beige;Winter;Next Day Air;Debit Card;Quarterly
42;67;Male;Scarf;Accessories;23/03/2024;40;39;Alaska;M;Orange;Spring;Standard;Venmo;Annually
43;20;Male;Coat;Outerwear;25/03/2024;15;100;Tennessee;M;Beige;Spring;Free Shipping;PayPal;Annually
2;25;Male;Scarf;Accessories;27/03/2024;19;69;Ohio;L;Lavender;Fall;Store Pickup;PayPal;Fortnightly
45;39;Male;Hat;Accessories;29/03/2024;45;53;Kentucky;S;Silver;Summer;Free Shipping;PayPal;Weekly
46;50;Male;Socks;Clothing;31/03/2024;25;21;Tennessee;XL;Indigo;Fall;2-Day Shipping;PayPal;Annually
47;57;Male;Shirt;Clothing;02/04/2024;45;43;California;L;White;Summer;Store Pickup;Cash;Quarterly
48;55;Male;Jewelry;Accessories;04/04/2024;36;54;Montana;M;Charcoal;Winter;Free Shipping;Cash;Weekly
49;42;Male;Shirt;Clothing;06/04/2024;38;55;Nevada;M;Orange;Summer;Store Pickup;Cash;Monthly
50;68;Male;Hoodie;Clothing;08/04/2024;34;30;New Jersey;S;Indigo;Spring;Next Day Air;Debit Card;Bi-Weekly
51;49;Male;Blouse;Clothing;10/04/2024;39;28;Maryland;M;Red;Spring;Store Pickup;Debit Card;Bi-Weekly
52;59;Male;Skirt;Clothing;12/04/2024;7;59;Vermont;XL;Gray;Winter;2-Day Shipping;Credit Card;Quarterly
53;42;;T-shirt;Clothing;14/04/2024;26;20;Alaska;M;Green;Summer;Free Shipping;Credit Card;Weekly
54;29;Male;Skirt;Clothing;16/04/2024;35;24;Mississippi;S;Peach;Winter;Next Day Air;Credit Card;Weekly
55;47;Male;Coat;Outerwear;18/04/2024;35;94;New Mexico;M;Brown;Summer;Next Day Air;Debit Card;Bi-Weekly
56;40;Male;Jacket;Outerwear;20/04/2024;49;28;South Carolina;M;Lavender;Winter;2-Day Shipping;Credit Card;Annually
57;41;Male;Backpack;Accessories;22/04/2024;46;73;Mississippi;XL;Brown;Summer;Store Pickup;Credit Card;Weekly
58;21;Male;Coat;Outerwear;24/04/2024;17;64;West Virginia;M;White;Summer;Store Pickup;Debit Card;Fortnightly
59;69;Male;Hoodie;Clothing;26/04/2024;29;54;Missouri;M;Charcoal;Summer;Free Shipping;Venmo;Monthly
60;63;Male;Belt;Accessories;28/04/2024;4;79;Louisiana;L;Yellow;Spring;Standard;Debit Card;Weekly
61;50;Male;Sweater;Clothing;30/04/2024;17;37;Idaho;L;Brown;Summer;Express;Cash;Weekly
3;55;Male;Scarf;Accessories;02/05/2024;21;68;Texas;M;Orange;Winter;Store Pickup;Credit Card;Every 3 Months
63;30;Male;Sneakers;Footwear;04/05/2024;31;21;Mississippi;S;Magenta;Spring;Free Shipping;Credit Card;Fortnightly
64;33;Male;Sunglasses;Accessories;06/05/2024;43;79;Arizona;L;Lavender;Winter;2-Day Shipping;Credit Card;Weekly
65;65;Male;Boots;Footwear;08/05/2024;18;83;Alabama;S;Green;Fall;Standard;Debit Card;Fortnightly
66;65;Male;Backpack;Accessories;10/05/2024;44;36;New Jersey;M;Purple;Spring;2-Day Shipping;Venmo;Every 3 Months
67;31;Male;Blouse;Clothing;12/05/2024;3;94;Pennsylvania;S;Magenta;Winter;2-Day Shipping;Venmo;Every 3 Months
68;45;Male;Coat;Outerwear;14/05/2024;49;33;Connecticut;L;Gray;Winter;Store Pickup;Debit Card;Monthly
69;57;Male;Handbag;Accessories;16/05/2024;21;46;Utah;L;Silver;Summer;Next Day Air;Cash;Every 3 Months
70;48;Male;Belt;Accessories;18/05/2024;5;70;Tennessee;S;Cyan;Summer;Express;Cash;Weekly
71;22;Male;Belt;Accessories;20/05/2024;32;29;Alabama;M;Magenta;Fall;Express;Debit Card;Every 3 Months
72;36;Male;Dress;Clothing;22/05/2024;34;48;Virginia;L;Gold;Summer;Express;Bank Transfer;Annually
73;18;Male;Dress;Clothing;24/05/2024;21;26;Georgia;M;Olive;Winter;Store Pickup;Bank Transfer;Every 3 Months
74;48;Male;Pants;Clothing;26/05/2024;43;85;Hawaii;M;Teal;Spring;Free Shipping;Bank Transfer;Bi-Weekly
4;49;Male;Gloves;Accessories;28/05/2024;3;58;Indiana;L;Violet;Spring;Express;Cash;Monthly
76;64;Male;Scarf;Accessories;30/05/2024;21;85;Utah;M;Blue;Summer;Free Shipping;Credit Card;Annually
77;50;Male;Hat;Accessories;01/06/2024;32;43;Delaware;S;Teal;Summer;Free Shipping;Venmo;Monthly
78;22;Male;Dress;Clothing;03/06/2024;36;53;Delaware;L;Gold;Summer;Next Day Air;Debit Card;Fortnightly
79;50;Male;Skirt;Clothing;05/06/2024;50;91;Nebraska;M;Maroon;Spring;Free Shipping;Venmo;Fortnightly
80;38;Male;Jacket;Outerwear;07/06/2024;43;96;Iowa;M;Olive;Winter;2-Day Shipping;Bank Transfer;Every 3 Months
81;19;Male;Sandals;Footwear;09/06/2024;24;72;New York;XL;Blue;Summer;Store Pickup;Credit Card;Every 3 Months
82;67;Male;Shoes;Footwear;11/06/2024;36;96;Virginia;L;Maroon;Summer;Express;Credit Card;Every 3 Months
83;19;Male;Pants;Clothing;13/06/2024;21;28;Georgia;S;Olive;Spring;2-Day Shipping;Credit Card;Every 3 Months
84;36;Male;Dress;Clothing;15/06/2024;34;40;Texas;M;Turquoise;Summer;Standard;Bank Transfer;Weekly
85;52;Male;Coat;Outerwear;17/06/2024;42;32;Arizona;S;Peach;Spring;Standard;Bank Transfer;Every 3 Months
5;53;Male;Sunglasses;Accessories;19/06/2024;2;95;New Mexico;M;Charcoal;Winter;Next Day Air;Debit Card;Bi-Weekly
87;24;Male;Hoodie;Clothing;21/06/2024;47;41;Nevada;L;Pink;Spring;2-Day Shipping;Cash;Bi-Weekly
88;52;Male;Shoes;Footwear;23/06/2024;44;53;Ohio;M;Green;Fall;2-Day Shipping;Debit Card;Fortnightly
89;33;Male;T-shirt;Clothing;25/06/2024;35;47;Wyoming;M;Orange;Fall;Free Shipping;Credit Card;Monthly
90;47;Male;Jacket;Outerwear;27/06/2024;15;83;California;XL;Pink;Fall;Next Day Air;Cash;Quarterly
91;25;Male;Hat;Accessories;29/06/2024;29;48;South Carolina;L;Violet;Summer;Express;Credit Card;Monthly
92;44;Male;Scarf;Accessories;01/07/2024;18;99;South Carolina;S;Green;Winter;Standard;Credit Card;Every 3 Months
93;61;Male;Jacket;Outerwear;03/07/2024;13;87;Texas;M;Olive;Winter;2-Day Shipping;Venmo;Every 3 Months
94;37;Male;Sweater;Clothing;05/07/2024;46;62;Florida;M;Purple;Fall;Standard;Credit Card;Weekly
95;58;Male;Skirt;Clothing;07/07/2024;28;76;Nevada;S;Silver;Spring;Free Shipping;Credit Card;Weekly
96;37;Male;Sneakers;Footwear;09/07/2024;48;100;Missouri;L;Pink;Fall;Free Shipping;PayPal;Monthly
97;32;Male;Gloves;Accessories;11/07/2024;43;73;Delaware;S;Gold;Spring;Express;Venmo;Every 3 Months
98;21;Male;Shoes;Footwear;13/07/2024;37;92;Virginia;M;Teal;Winter;Store Pickup;Cash;Annually
99;20;Male;Jeans;Clothing;15/07/2024;20;67;New York;XL;Teal;Spring;Next Day Air;Bank Transfer;Annually
100;26;Male;Hoodie;Clothing;17/07/2024;33;40;Missouri;XL;Indigo;Summer;Express;Debit Card;Quarterly
101;62;Male;Sunglasses;Accessories;19/07/2024;31;98;South Dakota;M;Maroon;Fall;Express;Cash;Fortnightly
102;27;Male;Coat;Outerwear;21/07/2024;50;85;North Dakota;XL;White;Spring;Express;Credit Card;Bi-Weekly
103;51;Male;Socks;Clothing;23/07/2024;35;67;Oklahoma;L;Violet;Winter;Next Day Air;Credit Card;Quarterly
104;54;Male;Boots;Footwear;25/07/2024;22;89;West Virginia;L;Red;Winter;Next Day Air;Venmo;Bi-Weekly
105;55;Male;Sunglasses;Accessories;27/07/2024;1;24;New Hampshire;L;Pink;Spring;2-Day Shipping;PayPal;Monthly
106;69;Male;Backpack;Accessories;29/07/2024;4;96;New York;M;Charcoal;Fall;Next Day Air;Bank Transfer;Annually
107;64;Male;Jacket;Outerwear;31/07/2024;31;35;Minnesota;L;White;Summer;Standard;Credit Card;Monthly
108;28;Male;Sneakers;Footwear;02/08/2024;46;67;Maryland;L;Olive;Winter;Next Day Air;PayPal;Fortnightly
109;70;Male;Socks;Clothing;04/08/2024;32;79;Montana;L;Purple;Spring;Next Day Air;Bank Transfer;Bi-Weekly
110;58;Male;T-shirt;Clothing;06/08/2024;43;85;Alabama;M;Violet;Spring;Next Day Air;Bank Transfer;Fortnightly
111;56;Male;Backpack;Accessories;08/08/2024;26;26;New York;M;Black;Summer;Standard;Venmo;Fortnightly
112;26;Male;Belt;Accessories;10/08/2024;9;75;Massachusetts;L;Purple;Summer;Free Shipping;Credit Card;Annually
113;37;Male;Gloves;Accessories;12/08/2024;28;65;Florida;M;Red;Spring;Free Shipping;PayPal;Bi-Weekly
114;44;Male;Hat;Accessories;14/08/2024;20;54;New Jersey;L;Maroon;Winter;Next Day Air;PayPal;Quarterly
115;70;Male;Coat;Outerwear;16/08/2024;9;95;Massachusetts;S;Blue;Summer;Store Pickup;Cash;Weekly
116;53;Male;Skirt;Clothing;18/08/2024;48;94;Wyoming;M;Gray;Spring;Standard;Debit Card;Every 3 Months
117;55;Male;Shoes;Footwear;20/08/2024;12;86;Virginia;S;Blue;Spring;Free Shipping;Venmo;Annually
118;50;Male;Sandals;Footwear;22/08/2024;29;32;South Dakota;L;Yellow;Summer;Express;Cash;Fortnightly
119;50;Male;Sweater;Clothing;24/08/2024;27;45;Kentucky;L;Orange;Fall;2-Day Shipping;Cash;Bi-Weekly
120;38;Male;Coat;Outerwear;26/08/2024;44;76;Wyoming;M;Orange;Fall;Express;Cash;Annually
121;64;Male;Hat;Accessories;28/08/2024;32;84;West Virginia;L;Red;Summer;Express;Bank Transfer;Annually
122;19;Male;Shorts;Clothing;30/08/2024;11;72;Virginia;M;Olive;Winter;Standard;Cash;Fortnightly
123;40;Male;Backpack;Accessories;01/09/2024;44;40;Washington;L;Brown;Spring;2-Day Shipping;Cash;Fortnightly
124;57;Male;Sweater;Clothing;03/09/2024;46;89;Louisiana;L;Brown;Fall;Free Shipping;Cash;Weekly
125;44;Male;Sweater;Clothing;05/09/2024;50;86;Nevada;M;Gray;Spring;Next Day Air;PayPal;Annually
126;49;Male;Shorts;Clothing;07/09/2024;45;54;California;M;Indigo;Winter;Next Day Air;Venmo;Every 3 Months
127;43;Male;Shorts;Clothing;09/09/2024;48;36;Mississippi;L;Pink;Spring;Store Pickup;Cash;Every 3 Months
128;24;Male;Sweater;Clothing;11/09/2024;26;89;Mississippi;M;Gray;Winter;Next Day Air;Credit Card;Weekly
129;20;Male;Scarf;Accessories;13/09/2024;21;32;California;M;Gold;Spring;Standard;Credit Card;Fortnightly
130;24;Male;Dress;Clothing;15/09/2024;49;67;Pennsylvania;XL;Olive;Summer;2-Day Shipping;PayPal;Bi-Weekly
131;44;Male;Scarf;Accessories;17/09/2024;13;39;Kentucky;L;Violet;Fall;Next Day Air;PayPal;Fortnightly
132;28;Male;Skirt;Clothing;19/09/2024;46;29;Maine;L;Indigo;Summer;Standard;Credit Card;Weekly
133;30;Male;Backpack;Accessories;21/09/2024;42;58;New Mexico;M;Orange;Fall;2-Day Shipping;PayPal;Weekly
134;52;Male;Sweater;Clothing;23/09/2024;25;65;Montana;M;Violet;Winter;Next Day Air;Venmo;Annually
135;43;Male;Hat;Accessories;25/09/2024;25;94;Texas;L;Gray;Fall;Store Pickup;Cash;Monthly
136;43;Male;Sandals;Footwear;27/09/2024;12;81;Kansas;M;Purple;Fall;Express;PayPal;Quarterly
137;39;Male;Blouse;Clothing;29/09/2024;4;86;South Carolina;M;White;Winter;Free Shipping;Debit Card;Quarterly
138;68;Male;Sneakers;Footwear;01/10/2024;38;43;Colorado;M;Turquoise;Spring;Free Shipping;PayPal;Weekly
139;68;Male;Skirt;Clothing;03/10/2024;42;29;Georgia;M;Maroon;Winter;Store Pickup;Bank Transfer;Weekly
140;49;Male;Coat;Outerwear;05/10/2024;30;95;Florida;M;White;Fall;Store Pickup;Venmo;Annually
141;63;Male;Shirt;Clothing;07/10/2024;50;28;North Carolina;L;Yellow;Fall;2-Day Shipping;Credit Card;Weekly
142;56;Male;Gloves;Accessories;09/10/2024;45;46;Virginia;M;Turquoise;Fall;Free Shipping;PayPal;Weekly
143;37;Male;Jacket;Outerwear;11/10/2024;33;58;Nebraska;L;Violet;Fall;Free Shipping;Credit Card;Fortnightly
144;30;Male;Coat;Outerwear;13/10/2024;25;48;Missouri;M;Beige;Fall;Store Pickup;PayPal;Quarterly
145;19;Male;Shoes;Footwear;15/10/2024;25;43;New Jersey;M;Silver;Fall;Express;Cash;Monthly
146;24;Male;Jewelry;Accessories;17/10/2024;44;95;Missouri;M;Teal;Fall;Standard;Debit Card;Quarterly
147;52;Male;Skirt;Clothing;19/10/2024;21;30;Colorado;S;Black;Fall;Standard;Venmo;Fortnightly
148;63;Male;Shoes;Footwear;21/10/2024;31;64;Idaho;M;Purple;Summer;2-Day Shipping;Bank Transfer;Fortnightly
149;37;Male;Gloves;Accessories;23/10/2024;47;90;Wyoming;M;Gray;Fall;Store Pickup;Debit Card;Annually
150;38;Male;Pants;Clothing;25/10/2024;14;76;Delaware;M;White;Summer;Free Shipping;PayPal;Monthly
151;35;Male;Boots;Footwear;27/10/2024;17;96;California;L;Cyan;Fall;Standard;Debit Card;Every 3 Months
152;28;Male;Sunglasses;Accessories;29/10/2024;3;47;North Dakota;L;Turquoise;Fall;Next Day Air;Venmo;Annually
153;30;Male;Shirt;Clothing;31/10/2024;42;85;South Carolina;S;Brown;Summer;Express;Venmo;Annually
154;69;Male;Hoodie;Clothing;02/11/2024;22;55;North Carolina;M;Maroon;Winter;Standard;Debit Card;Annually
155;41;Male;Dress;Clothing;04/11/2024;21;98;Oklahoma;M;Charcoal;Fall;Next Day Air;Venmo;Quarterly
156;63;Male;Socks;Clothing;06/11/2024;21;77;Maine;S;Olive;Spring;Free Shipping;Bank Transfer;Quarterly
157;35;Male;Shorts;Clothing;08/11/2024;40;26;Missouri;M;Lavender;Fall;Standard;Debit Card;Annually
158;36;Male;Hat;Accessories;10/11/2024;1;68;Vermont;S;Yellow;Fall;Next Day Air;Bank Transfer;Fortnightly
159;25;Male;Shirt;Clothing;12/11/2024;50;73;Connecticut;XL;Teal;Fall;Standard;Bank Transfer;Monthly
160;58;Male;Gloves;Accessories;14/11/2024;39;27;New Hampshire;M;Charcoal;Fall;Store Pickup;Bank Transfer;Every 3 Months
161;27;Male;Gloves;Accessories;16/11/2024;34;23;Texas;M;Orange;Summer;Free Shipping;Venmo;Monthly
162;65;Male;Backpack;Accessories;18/11/2024;29;49;North Dakota;M;Olive;Fall;Express;Venmo;Fortnightly
163;54;Male;Sunglasses;Accessories;20/11/2024;31;74;California;M;Turquoise;Summer;Store Pickup;PayPal;Bi-Weekly
164;54;Male;Skirt;Clothing;22/11/2024;8;67;Virginia;M;Purple;Summer;Standard;Debit Card;Weekly
165;59;Male;Handbag;Accessories;24/11/2024;5;65;Delaware;S;Purple;Spring;Free Shipping;Credit Card;Fortnightly
166;42;Male;Handbag;Accessories;26/11/2024;7;60;Kentucky;S;Yellow;Winter;Store Pickup;Cash;Monthly
167;46;Male;Sneakers;Footwear;28/11/2024;30;31;Delaware;XL;Indigo;Fall;Store Pickup;Cash;Monthly
168;33;Male;Gloves;Accessories;30/11/2024;14;27;Arkansas;M;Green;Fall;Express;Credit Card;Every 3 Months
169;34;Male;Shoes;Footwear;02/12/2024;5;80;Louisiana;M;Magenta;Summer;Express;Cash;Fortnightly
170;27;Male;Jacket;Outerwear;04/12/2024;3;30;Nevada;S;Gold;Summer;Standard;PayPal;Every 3 Months
171;52;Male;Shirt;Clothing;06/12/2024;46;25;Wyoming;M;Maroon;Fall;Store Pickup;Venmo;Bi-Weekly
172;29;Male;Shorts;Clothing;08/12/2024;4;35;Virginia;M;Blue;Summer;Store Pickup;Credit Card;Weekly
173;54;Male;Jewelry;Accessories;10/12/2024;42;67;Nebraska;M;Violet;Summer;Next Day Air;Credit Card;Bi-Weekly
174;25;Male;Hat;Accessories;12/12/2024;30;46;Hawaii;M;Turquoise;Fall;Standard;Cash;Annually
175;41;Male;Shoes;Footwear;14/12/2024;37;35;Vermont;L;Brown;Winter;Express;Venmo;Annually
176;53;Male;Coat;Outerwear;16/12/2024;2;86;Oklahoma;L;Violet;Fall;Next Day Air;Bank Transfer;Annually
177;53;Male;Backpack;Accessories;18/12/2024;30;81;New Hampshire;L;Black;Spring;Next Day Air;Credit Card;Quarterly
178;21;Male;Hoodie;Clothing;20/12/2024;47;42;Kansas;L;Magenta;Fall;Next Day Air;Bank Transfer;Monthly
179;61;Male;Skirt;Clothing;22/12/2024;21;43;Idaho;L;Lavender;Fall;2-Day Shipping;PayPal;Quarterly
180;64;Male;Boots;Footwear;24/12/2024;9;31;Illinois;M;Violet;Fall;Store Pickup;Bank Transfer;Fortnightly
181;51;Male;Sandals;Footwear;26/12/2024;12;81;South Dakota;L;Green;Fall;Store Pickup;Debit Card;Fortnightly
182;32;Male;Pants;Clothing;28/12/2024;4;61;Massachusetts;M;Beige;Summer;Next Day Air;Bank Transfer;Weekly
183;38;Male;Gloves;Accessories;30/12/2024;10;96;Alabama;XL;Purple;Summer;Store Pickup;Debit Card;Annually
184;58;Male;Skirt;Clothing;01/01/2025;26;29;Ohio;XL;Beige;Spring;2-Day Shipping;Credit Card;Weekly
185;32;Male;Sneakers;Footwear;03/01/2025;40;33;Hawaii;L;Cyan;Spring;Express;Cash;Fortnightly
186;46;Male;T-shirt;Clothing;05/01/2025;34;32;Wisconsin;XL;Silver;Summer;Store Pickup;Bank Transfer;Fortnightly
187;39;Male;Backpack;Accessories;07/01/2025;31;56;Minnesota;S;Lavender;Summer;Standard;Debit Card;Annually
188;19;Male;Shoes;Footwear;09/01/2025;1;94;Georgia;S;Purple;Spring;Store Pickup;Bank Transfer;Bi-Weekly
189;50;Male;Hoodie;Clothing;11/01/2025;5;53;Arkansas;M;Pink;Spring;Express;Bank Transfer;Bi-Weekly
190;36;Male;Blouse;Clothing;13/01/2025;4;82;West Virginia;M;Maroon;Fall;Next Day Air;Credit Card;Weekly
191;65;Male;Coat;Outerwear;15/01/2025;48;70;Indiana;XL;Beige;Fall;Free Shipping;Venmo;Quarterly
192;64;Male;Hat;Accessories;17/01/2025;29;76;Utah;M;Gray;Fall;Free Shipping;Cash;Every 3 Months
193;46;Male;Shoes;Footwear;19/01/2025;12;29;Nebraska;L;Turquoise;Summer;Express;PayPal;Bi-Weekly
194;36;Male;Belt;Accessories;21/01/2025;29;100;North Dakota;S;Silver;Fall;Standard;Venmo;Annually
195;51;Male;Backpack;Accessories;23/01/2025;15;94;Missouri;M;Olive;Spring;Express;Debit Card;Quarterly
196;51;Male;Jacket;Outerwear;25/01/2025;34;25;New York;M;Magenta;Fall;Free Shipping;Credit Card;Monthly
197;38;Male;Boots;Footwear;27/01/2025;41;88;Washington;M;Lavender;Summer;Next Day Air;Credit Card;Fortnightly
198;59;Male;Scarf;Accessories;29/01/2025;41;78;South Carolina;M;Black;Fall;2-Day Shipping;Credit Card;Monthly
199;57;Male;Jewelry;Accessories;31/01/2025;39;45;Utah;M;Turquoise;Winter;Standard;Credit Card;Fortnightly
200;54;Male;Hat;Accessories;02/02/2025;32;73;Idaho;XL;Green;Summer;Express;Cash;Weekly
201;25;Male;Dress;Clothing;04/02/2025;29;61;Pennsylvania;S;Teal;Summer;Next Day Air;Venmo;Monthly
202;69;Male;Blouse;Clothing;06/02/2025;15;22;Missouri;S;Beige;Fall;Free Shipping;Bank Transfer;Annually
203;57;Male;Hat;Accessories;08/02/2025;33;38;Nebraska;L;Magenta;Spring;Express;Venmo;Annually
204;70;Male;Scarf;Accessories;10/02/2025;18;38;Indiana;S;Yellow;Fall;Next Day Air;Bank Transfer;Weekly
205;24;Male;Sneakers;Footwear;12/02/2025;35;100;Arizona;M;Yellow;Fall;Store Pickup;Cash;Bi-Weekly
206;67;Male;Shirt;Clothing;14/02/2025;25;64;Hawaii;M;Silver;Winter;Standard;PayPal;Weekly
207;24;Male;T-shirt;Clothing;16/02/2025;6;55;Wisconsin;L;Silver;Summer;Free Shipping;Venmo;Fortnightly
208;62;Male;Gloves;Accessories;18/02/2025;17;91;Rhode Island;M;Silver;Summer;Express;Bank Transfer;Bi-Weekly
209;57;Male;Skirt;Clothing;20/02/2025;17;38;Wisconsin;M;Gold;Spring;Store Pickup;Credit Card;Monthly
210;55;Male;Sandals;Footwear;22/02/2025;44;97;Minnesota;S;Olive;Winter;Store Pickup;Cash;Every 3 Months
211;45;Male;Jacket;Outerwear;24/02/2025;6;22;Vermont;L;Teal;Fall;2-Day Shipping;PayPal;Fortnightly
212;69;Male;Skirt;Clothing;26/02/2025;45;92;South Dakota;L;Maroon;Fall;2-Day Shipping;Debit Card;Fortnightly
213;67;Male;Handbag;Accessories;28/02/2025;7;84;Virginia;L;Blue;Fall;Express;Debit Card;Annually
214;30;Male;Handbag;Accessories;02/03/2025;11;93;Nevada;L;Peach;Fall;Store Pickup;Debit Card;Every 3 Months
215;24;Male;Jacket;Outerwear;04/03/2025;41;50;Hawaii;L;Blue;Summer;Next Day Air;Cash;Every 3 Months
216;62;Male;Scarf;Accessories;06/03/2025;24;64;New Jersey;S;Orange;Spring;2-Day Shipping;PayPal;Bi-Weekly
217;43;Male;Shorts;Clothing;08/03/2025;21;61;Massachusetts;L;Yellow;Spring;Free Shipping;Venmo;Weekly
218;35;Male;Sunglasses;Accessories;10/03/2025;24;48;Oklahoma;M;Purple;Winter;Next Day Air;Bank Transfer;Annually
219;28;Male;T-shirt;Clothing;12/03/2025;8;45;California;S;Magenta;Spring;Store Pickup;Credit Card;Quarterly
220;32;Male;Belt;Accessories;14/03/2025;12;88;Nevada;M;Cyan;Spring;Free Shipping;Cash;Fortnightly
221;39;Male;Sneakers;Footwear;16/03/2025;48;57;Arizona;S;Indigo;Spring;Express;Debit Card;Fortnightly
222;28;Male;Hat;Accessories;18/03/2025;6;68;North Carolina;XL;Magenta;Summer;Store Pickup;Bank Transfer;Quarterly
223;47;Male;Gloves;Accessories;20/03/2025;14;94;New York;XL;Gray;Spring;2-Day Shipping;PayPal;Fortnightly
224;20;Male;Pants;Clothing;22/03/2025;34;41;Wyoming;M;Turquoise;Spring;Free Shipping;PayPal;Annually
